team,num,name,type,dob,height,weight,club
GHA,2,Lawrence Ati Zigi,player,1996-11-29,188,,St. Gallen
GHA,3,Tariq Lamptey,player,2000-09-30,163,,Fiorentina
GHA,4,Mohammed Salisu,player,1999-04-17,191,,Monaco
GHA,5,Alidu Seidu,player,2000-06-04,173,,Rennes
GHA,6,Alexander Djiku,player,1994-08-09,182,,Spartak Moscow
GHA,7,Gideon Mensah,player,,,,
GHA,8,Caleb Yirenkyi,player,2006-01-15,182,,Nordsjælland
GHA,9,Abdul Issahaku Fatawu,player,,,,
GHA,10,Thomas Partey,player,1993-06-13,185,,Villarreal
GHA,11,Salis Abdul Samed,player,2000-03-26,179,,Nice
GHA,12,Kamaldeen Sulemana,player,2002-02-15,174,,Atalanta
GHA,13,Team Photo,team photo,,,,
GHA,14,Mohammed Kudus,player,2000-08-02,175,,Tottenham Hotspur
GHA,15,Inaki Williams,player,1994-06-15,186,,Athletic Bilbao
GHA,16,Jordan Ayew,player,1991-09-11,182,,Leicester City
GHA,17,Andrew Ayew,player,,,,
GHA,18,Joseph Paintsil,player,1998-02-01,170,,LA Galaxy
GHA,19,Osman Bukari,player,1998-12-13,170,,Widzew Łódź
GHA,20,Antoine Semenyo,player,2000-01-07,185,,Manchester City
HAI,1,Team Logo,team logo · foil,,,,
HAI,2,Johny Placide,player,1988-01-29,181,,Bastia
HAI,3,Carlens Arcus,player,1996-06-28,180,,Angers
HAI,4,Martin Expérience,player,1999-03-09,178,,Nancy
HAI,5,Jean-Kevin Duverne,player,1997-07-12,186,,Gent
HAI,6,Ricardo Adé,player,1990-05-21,,,L.D.U. Quito
HAI,7,Duke Lacroix,player,1993-10-14,,,Colorado Springs Switchbacks
HAI,8,Garven Metusala,player,1999-12-31,185,,Colorado Springs Switchbacks
HAI,9,Hannes Delcroix,player,1999-02-28,185,,Lugano
HAI,10,Leverton Pierre,player,1998-03-09,181,,Vizela
HAI,11,Danley Jean Jacques,player,2000-05-20,182,,Philadelphia Union
HAI,12,Jean-Ricner Bellegarde,player,1998-06-27,,,Wolverhampton Wanderers
HAI,13,Team Photo,team photo,,,,
HAI,14,Christopher Attys,player,2001-03-13,186,,Triestina
HAI,15,Derrick Etienne Jr,player,,,,
HAI,16,Josue Casimir,player,2001-09-24,178,,Auxerre
HAI,17,Ruben Providence,player,2001-07-07,178,,Almere City
HAI,18,Duckens Nazon,player,1994-04-07,181,,Esteghlal
HAI,19,Louicius Deedson,player,2001-02-11,178,,FC Dallas
HAI,20,Frantzdy Pierrot,player,1995-03-29,194,,Çaykur Rizespor
IRN,1,Team Logo,team logo · foil,,,,
IRN,2,Alireza Beiranvand,player,1992-09-21,195,,Tractor
IRN,3,Morteza Pouraliganji,player,1992-04-19,185,,Persepolis
IRN,4,Ehsan Hajsafi,player,1990-02-25,176,,Sepahan
IRN,5,Milad Mohammadi,player,1993-09-29,175,,Persepolis
IRN,6,Shojae Khalilzadeh,player,1989-05-14,182,,Tractor
IRN,7,Ramin Rezaeian,player,1990-03-21,184,,Foolad (Loan from Esteghlal)
IRN,8,Hossein Kanaani,player,1994-03-23,188,,Persepolis
IRN,9,Sadegh Moharrami,player,1996-03-01,174,,Tractor
IRN,10,Saleh Hardani,player,1998-12-26,,,Esteghlal
IRN,11,Saeed Ezatolahi,player,,,,
IRN,12,Saman Ghoddos,player,1993-09-06,176,,Kalba
IRN,13,Team Photo,team photo,,,,
IRN,14,Omid Noorafkan,player,1997-04-09,184,,Sepahan
IRN,15,Roozbeh Cheshmi,player,1993-07-24,192,,Esteghlal
IRN,16,Mohammad Mohebi,player,1998-12-20,185,,Rostov
IRN,17,Sardar Azmoun,player,1995-01-01,186,,Shabab Al Ahli
IRN,18,Mehdi Taremi,player,1992-07-18,187,,Olympiacos
IRN,19,Alireza Jahanbakhsh,player,1993-08-11,180,,Dender EH
IRN,20,Ali Gholizadeh,player,1996-03-10,176,,Lech Poznań
IRQ,1,Team Logo,team logo · foil,,,,
IRQ,2,Jalal Hassan,player,1991-05-18,188,,Al-Zawraa
IRQ,3,Rebin Sulaka,player,1992-04-12,192,,Port
IRQ,4,Hussein Ali,player,,,,
IRQ,5,Akam Hashem,player,,,,
IRQ,6,Merchas Doski,player,1999-12-07,173,,Viktoria Plzeň
IRQ,7,Zaid Tahseen,player,2001-01-29,193,,Pakhtakor
IRQ,8,Manaf Younis,player,1996-11-16,190,,Al-Shorta
IRQ,9,Zidane Iqbal,player,2003-04-27,181,,Utrecht
IRQ,10,Amir Al-Ammari,player,1997-07-27,184,,Cracovia
IRQ,11,Ibrahim Bavesh,player,,,,
IRQ,12,Ali Jasim,player,2004-01-20,178,,Al-Najma
IRQ,13,Team Photo,team photo,,,,
IRQ,14,Youssef Amyn,player,2003-08-21,172,,AEK Larnaca
IRQ,15,Aimar Sher,player,2002-12-20,175,,Sarpsborg 08
IRQ,16,Marko Farji,player,2004-03-16,,,Venezia
IRQ,17,Osama Rashid,player,1992-01-17,180,,Erbil SC
IRQ,18,Ali Al-Hamadi,player,2002-03-01,184,,Ipswich Town
IRQ,19,Aymen Hussein,player,1996-03-22,189,,Al-Karma
IRQ,20,Mohanad Ali,player,2000-06-20,183,,Dibba
JOR,1,Team Logo,team logo · foil,,,,
JOR,2,Yazeed Abulaila,player,1993-01-08,188,,Al-Hussein
JOR,3,Ihsan Haddad,player,1994-02-05,,,Al-Hussein
JOR,4,Mohammad Abu Hashish,player,1995-05-09,,,Al-Karma
JOR,5,Yazan Al-Arab,player,1996-01-31,188,,FC Seoul
JOR,6,Abdallah Nasib,player,1994-02-25,,,Al-Zawraa
JOR,7,Saleem Obaid,player,,,,
JOR,8,Mohammad Abualnadi,player,2001-02-08,186,,Selangor
JOR,9,Ibrahim Saadeh,player,,,,
JOR,10,Nizar Al-Rashdan,player,1999-03-23,,,Qatar
JOR,11,Noor Al-Rawabdeh,player,1997-02-24,179,,Selangor
JOR,12,Mohannad Abu Taha,player,2003-02-02,176,,Al-Quwa Al-Jawiya
JOR,13,Team Photo,team photo,,,,
JOR,14,Amer Jamous,player,2002-07-03,177,,Al-Zawraa
JOR,15,Musa Al-Taamari,player,1997-06-10,178,,Rennes
JOR,16,Yazan Al-Naimat,player,1999-06-04,180,,Al-Arabi
JOR,17,Mahmoud Al-Mardi,player,1993-10-06,,,Al-Hussein
JOR,18,Ali Olwan,player,2000-03-26,184,,Al-Sailiya
JOR,19,Mohammad Abu Zrayq,player,1997-12-30,168,,Raja CA
JOR,20,Ibrahim Sabra,player,2006-02-01,183,,Lokomotiva Zagreb
JPN,1,Team Logo,team logo · foil,,,,
JPN,2,Zion Suzuki,player,2002-08-21,190,,Parma
JPN,3,Henry Heroki Mochizuki,player,2001-09-20,192,,Machida Zelvia
JPN,4,Ayumu Seko,player,2000-06-07,185,,Le Havre
JPN,5,Junnosuke Suzuki,player,2003-07-12,185,,Copenhagen
JPN,6,Shogo Taniguchi,player,1991-07-15,183,,Sint-Truiden
JPN,7,Tsuyoshi Watanabe,player,1997-02-05,,,Feyenoord
JPN,8,Kaishu Sano,player,2000-12-30,176,,Mainz 05
JPN,9,Yuki Soma,player,1997-02-25,166,,Machida Zelvia
JPN,10,Ao Tanaka,player,1998-09-10,180,,Leeds United
JPN,11,Daichi Kamada,player,1996-08-05,184,,Crystal Palace
JPN,12,Takefusa Kubo,player,2001-06-04,173,,Real Sociedad
JPN,13,Team Photo,team photo,,,,
JPN,14,Ritsu Doan,player,1998-06-16,172,,Eintracht Frankfurt
JPN,15,Keito Nakamura,player,2000-07-28,180,,Reims
JPN,16,Takumi Minamino,player,1995-01-16,172,,Monaco
JPN,17,Shuto Machino,player,1999-09-30,185,,Borussia Mönchengladbach
JPN,18,Junya Ito,player,1993-03-09,176,,Genk
JPN,19,Koki Ogawa,player,,,,
JPN,20,Ayase Ueda,player,1998-08-28,182,,Feyenoord
KOR,1,Team Logo,team logo · foil,,,,
KOR,2,Hyeon-woo Jo,player,,,,
KOR,3,Seung-Gyu Kim,player,,,,
KOR,4,Min-jae Kim,player,,,,
KOR,5,Yu-min Cho,player,,,,
KOR,6,Young-woo Seol,player,,,,
KOR,7,Han-beom Lee,player,,,,
KOR,8,Tae-seok Lee,player,,,,
KOR,9,Myung-jae Lee,player,,,,
KOR,10,Jae-sung Lee,player,,,,
KOR,11,In-beom Hwang,player,,,,
KOR,12,Kang-in Lee,player,2001-02-19,173,,Paris Saint-Germain
KOR,13,Team Photo,team photo,,,,
KOR,14,Seung-ho Paik,player,,,,
KOR,15,Jens Castrop,player,2003-07-29,177,,Borussia Mönchengladbach
KOR,16,Dongg-yeong Lee,player,,,,
KOR,17,Gue-sung Cho,player,,,,
KOR,18,Heung-min Son,player,1992-07-08,183,,Los Angeles FC
KOR,19,Hee-chan Hwang,player,1996-01-26,177,,Wolverhampton Wanderers
KOR,20,Hyeon-Gyu Oh,player,,,,
KSA,1,Team Logo,team logo · foil,,,,
KSA,2,Nawaf Alaqidi,player,,,,
KSA,3,Abdulrahman Al-Sanbi,player,2001-02-03,181,,Al-Ahli
KSA,4,Saud Abdulhamid,player,1999-07-18,171,,Lens
KSA,5,Nawaf Bouwashl,player,,,,
KSA,6,Jihad Thakri,player,,,,
KSA,7,Moteb Al-Harbi,player,2000-02-20,172,,Al-Hilal
KSA,8,Hassan Altambakti,player,,,,
KSA,9,Musab Aljuwayr,player,,,,
KSA,10,Ziyad Aljohani,player,,,,
KSA,11,Abdullah Alkhaibari,player,,,,
KSA,12,Nasser Aldawsari,player,,,,
KSA,13,Team Photo,team photo,,,,
KSA,14,Saleh Abu Alshamat,player,,,,
KSA,15,Marwan Alsahafi,player,,,,
KSA,16,Salem Aldawsari,player,,,,
KSA,17,Abdulrahman Al-Aboud,player,1995-06-01,174,,Al-Ittihad
KSA,18,Feras Akbrikan,player,,,,
KSA,19,Saleh Alshehri,player,1993-11-01,184,,Al-Ittihad
KSA,20,Abdullah Al-Hamdan,player,1999-09-13,184,,Al-Nassr
MAR,1,Team Logo,team logo · foil,,,,
MAR,2,Yassine Bounou,player,1991-04-05,195,,Al Hilal
MAR,3,Munir El Kajoui,player,,,,
MAR,4,Achraf Hakimi,player,1998-11-04,181,,Paris Saint-Germain
MAR,5,Noussair Mazraoui,player,1997-11-14,183,,Manchester United
MAR,6,Nayef Aguerd,player,1996-03-30,190,,Marseille
MAR,7,Roman Saiss,player,,,,
MAR,8,Jawad El Yamio,player,,,,
MAR,9,Adam Masina,player,1994-01-02,189,,| clubnumber =
MAR,10,Sofyan Amrabat,player,1996-08-21,183,,Betis
MAR,11,Azzedine Ounahi,player,2000-04-19,182,,Girona
MAR,12,Eliesse Ben Seghir,player,2005-02-16,178,,Bayer Leverkusen
MAR,13,Team Photo,team photo,,,,
MAR,14,Bilal El Khannouss,player,2004-05-10,180,,VfB Stuttgart
MAR,15,Ismael Saibari,player,2001-01-28,185,,PSV Eindhoven
MAR,16,Youssef En-Nesyri,player,1997-06-01,188,,Al-Ittihad
MAR,17,Abde Ezzalzouli,player,2001-12-17,177,,Betis
MAR,18,Soufiane Rahimi,player,1996-06-02,183,,Al Ain
MAR,19,Brahim Diaz,player,1999-08-03,170,,Real Madrid
MAR,20,Ayoub El Kaabi,player,1993-06-25,182,,Olympiacos
MEX,1,Team Logo,team logo · foil,,,,
MEX,2,Luis Malagón,player,1997-03-02,182,,América
MEX,3,Johan Vasquez,player,,,,
MEX,4,Jorge Sánchez,player,,,,
MEX,5,Cesar Montes,player,1997-02-24,195,,Lokomotiv Moscow
MEX,6,Jesus Gallardo,player,1994-08-15,178,,Toluca
MEX,7,Israel Reyes,player,2000-05-23,180,,América
MEX,8,Diego Lainez,player,2000-06-09,168,,UANL
MEX,9,Carlos Rodriguez,player,,,,
MEX,10,Edson Alvarez,player,1997-10-24,187,,Fenerbahçe
MEX,11,Orbelin Pineda,player,1996-03-24,169,,AEK Athens
MEX,12,Marcel Ruiz,player,,,,
MEX,13,Team Photo,team photo,,,,
MEX,14,Érick Sánchez,player,1999-09-27,167,,América
MEX,15,Hirving Lozano,player,1995-07-30,175,,San Diego FC
MEX,16,Santiago Giménez,player,2001-04-18,185,,AC Milan
MEX,17,Raúl Jiménez,player,1991-05-05,187,,Fulham
MEX,18,Alexis Vega,player,,,,
MEX,19,Roberto Alvarado,player,1998-09-07,176,,Guadalajara
MEX,20,Cesar Huerta,player,,,,
NED,1,Team Logo,team logo · foil,,,,
NED,2,Bart Verbruggen,player,2002-08-18,193,,Brighton & Hove Albion
NED,3,Virgil van Dijk,player,1991-07-08,195,,Liverpool
NED,4,Micky van de Ven,player,2001-04-19,193,,Tottenham Hotspur
NED,5,Jurrien Timber,player,2001-06-17,179,,Arsenal
NED,6,Denzel Dumfries,player,1996-04-18,188,,Inter Milan
NED,7,Nathan Aké,player,1995-02-18,180,,Manchester City
NED,8,Jeremie Frimpong,player,2000-12-10,171,,Liverpool
NED,9,Jan Paul van Hecke,player,2000-06-08,189,,Brighton & Hove Albion
NED,10,Tijjani Reijnders,player,1998-07-29,178,,Manchester City
NED,11,Ryan Gravenberch,player,2002-05-16,190,,Liverpool
NED,12,Teun Koopmeiners,player,1998-02-28,184,,Juventus
NED,13,Team Photo,team photo,,,,
NED,14,Frenkie de Jong,player,1997-05-12,182,,Barcelona
NED,15,Xavi Simons,player,2003-04-21,179,,Tottenham Hotspur
NED,16,Justin Kluivert,player,1999-05-05,171,,Bournemouth
NED,17,Memphis Depay,player,1994-02-13,178,,Corinthians
NED,18,Donyell Malen,player,1999-01-19,176,,Roma
NED,19,Wout Weghorst,player,1992-08-07,197,,Ajax
NED,20,Cody Gakpo,player,1999-05-07,193,,Liverpool
NOR,1,Team Logo,team logo · foil,,,,
NOR,2,Orjan Nyland,player,1990-09-10,192,,Sevilla
NOR,3,Julian Ryerson,player,1997-11-17,183,,Borussia Dortmund
NOR,4,Leo Ostigård,player,,,,
NOR,5,Kristoffer Vassbakk Ajer,player,1998-04-17,198,,Brentford
NOR,6,Marcus Holmgren Pedersen,player,2000-07-16,178,,Torino
NOR,7,David Møller Wolfe,player,2002-04-23,185,,Wolverhampton Wanderers
NOR,8,Torbjørn Heggem,player,1999-01-12,,,Bologna
NOR,9,Morten Thorsby,player,1996-05-05,188,,Cremonese
NOR,10,Martin Ødegaard,player,1998-12-17,178,,Arsenal
NOR,11,Sander Berge,player,1998-02-14,195,,Fulham
NOR,12,Andreas Schjelderup,player,2004-06-01,177,,Benfica
NOR,13,Team Photo,team photo,,,,
NOR,14,Patrick Berg,player,1997-11-24,178,,Bodø/Glimt
NOR,15,Erling Haaland,player,2000-07-21,195,,Manchester City
NOR,16,Alexander Sørloth,player,1995-12-05,195,,Atlético Madrid
NOR,17,Aron Dønnum,player,1998-04-20,179,,Toulouse
NOR,18,Jorgen Strand Larsen,player,2000-02-06,194,,Crystal Palace
NOR,19,Antonio Nusa,player,2005-04-17,183,,RB Leipzig
NOR,20,Oscar Bobb,player,2003-07-12,174,,Fulham
NZL,1,Team Logo,team logo · foil,,,,
NZL,2,Max Crocombe Payne,player,,,,
NZL,3,Alex Paulsen,player,2002-07-04,184,,Lechia Gdańsk
NZL,4,Michael Boxall,player,1988-08-18,188,,Minnesota United
NZL,5,Liberato Cacace,player,2000-09-27,183,,Wrexham
NZL,6,Tim Payne,player,,,,
NZL,7,Tyler Bindon,player,2005-01-27,190,,Nottingham Forest
NZL,8,Francis de Vries,player,1994-11-28,,,Auckland FC
NZL,9,Finn Surman,player,2003-09-23,190,,Portland Timbers
NZL,10,Joe Bell,player,,,,
NZL,11,Sarpreet Singh,player,1999-02-20,180,,Wellington Phoenix
NZL,12,Ryan Thomas,player,1984-06-10,,,
NZL,13,Team Photo,team photo,,,,
NZL,14,Matthew Garbett,player,2002-04-13,188,,Peterborough United
NZL,15,Marko Stamenić,player,2002-02-19,188,,Swansea City
NZL,16,Ben Old,player,2002-08-13,173,,Saint-Étienne
NZL,17,Chris Wood,player,,,,
NZL,18,Elijah Just,player,2000-05-01,174,,Motherwell
NZL,19,Callum McCowatt,player,1999-04-30,179,,Silkeborg
NZL,20,Kosta Barbarouses,player,1990-02-19,171,,Western Sydney Wanderers
PAN,1,Team Logo,team logo · foil,,,,
PAN,2,Orlando Mosquera,player,1994-12-25,191,,Al-Fayha
PAN,3,Luis Mejia,player,1991-03-16,,,Nacional
PAN,4,Fidel Escobar,player,1995-01-09,182,,Deportivo Saprissa
PAN,5,Andres Andrade,player,,,,
PAN,6,Michael Amir Murillo,player,1996-02-11,183,,Beşiktaş
PAN,7,Eric Davis,player,,,,
PAN,8,Jose Cordoba,player,,,,
PAN,9,Cesar Blackman,player,1998-04-02,174,,Slovan Bratislava
PAN,10,Cristian Martinez,player,,,,
PAN,11,Aníbal Godoy,player,1990-02-10,183,,San Diego FC
PAN,12,Adalberto Carrasquilla,player,1998-11-28,170,,UNAM
PAN,13,Team Photo,team photo,,,,
PAN,14,Édgar Bárcenas,player,1993-10-23,175,,| clubnumber     =
PAN,15,Carlos Harvey,player,2000-02-03,185,,Minnesota United
PAN,16,Ismael Díaz,player,,,,
PAN,17,Jose Fajardo,player,,,,
PAN,18,Cecilio Waterman,player,1991-04-13,181,,Universidad de Concepción
PAN,19,Jose Luiz Rodriguez,player,,,,
PAN,20,Alberto Quintero,player,,,,
PAR,1,Team Logo,team logo · foil,,,,
PAR,2,Roberto Fernandez,player,,,,
PAR,3,Orlando Gill,player,2000-06-11,198,,San Lorenzo de Almagro
PAR,4,Gustavo Gomez,player,1993-05-06,185,,Palmeiras
PAR,5,Fabián Balbuena,player,1991-08-23,188,,Grêmio
PAR,6,Juan José Cáceres,player,2000-06-01,173,,Dynamo Moscow
PAR,7,Omar Alderete,player,1996-12-26,188,,Sunderland
PAR,8,Junior Alonso,player,1993-02-09,185,,Atlético Mineiro
PAR,9,Mathías Villasanti,player,1997-01-24,178,,Grêmio
PAR,10,Diego Gomez,player,,,,
PAR,11,Damián Bobadilla,player,2001-07-11,181,,São Paulo
PAR,12,Andres Cubas,player,,,,
PAR,13,Team Photo,team photo,,,,
PAR,14,Matias Galarza Fonda,player,,,,
PAR,15,Julio Enciso,player,,,,
PAR,16,Alejandro Romero Gamarra,player,1995-01-11,171,,Al Ain
PAR,17,Miguel Almirón,player,1994-02-10,174,,Atlanta United
PAR,18,Ramon Sosa,player,,,,
PAR,19,Angel Romero,player,,,,
PAR,20,Antonio Sanabria,player,1996-03-04,182,,Cremonese
POR,1,Team Logo,team logo · foil,,,,
POR,2,Diogo Costa,player,1999-09-19,186,,Porto
POR,3,Jose Sa,player,1993-01-17,192,,Wolverhampton Wanderers
POR,4,Ruben Dias,player,1997-05-14,187,,Manchester City
POR,5,João Cancelo,player,1994-05-27,182,,Barcelona
POR,6,Diogo Dalot,player,1999-03-18,183,,Manchester United
POR,7,Nuno Mendes,player,,,,
POR,8,Gonçalo Inácio,player,2001-08-25,185,,Sporting CP
POR,9,Bernardo Silva,player,1994-08-10,173,,Manchester City
POR,10,Bruno Fernandes,player,,,,
POR,11,Ruben Neves,player,1997-03-13,180,,Al-Hilal
POR,12,Vitinha,player,,,,
POR,13,Team Photo,team photo,,,,
POR,14,João Neves,player,2004-09-27,174,,Paris Saint-Germain
POR,15,Cristiano Ronaldo,player,1985-02-05,187,,Al-Nassr
POR,16,Francisco Trincao,player,1999-12-29,183,,Sporting CP
POR,17,João Felix,player,1999-11-10,181,,Al-Nassr
POR,18,Gonçalo Ramos,player,2001-06-20,185,,Paris Saint-Germain
POR,19,Pedro Neto,player,2000-03-09,172,,Chelsea
POR,20,Rafael Leão,player,1999-06-10,188,,Fc Barcelona
QAT,1,Team Logo,team logo · foil,,,,
QAT,2,Meshaal Barsham,player,1998-02-14,,,Al Sadd
QAT,3,Sultan Albrake,player,,,,
QAT,4,Lucas Mendes,player,,,,
QAT,5,Homam Ahmed,player,1999-08-25,188,,Cultural Leonesa
QAT,6,Boualem Khoukhi,player,1990-07-09,,,Al Sadd
QAT,7,Pedro Miguel,player,,,,
QAT,8,Tarek Salman,player,1997-12-05,179,,Al Sadd
QAT,9,Mohamed Al-Mannai,player,,,,
QAT,10,Karim Boudiaf,player,1990-09-16,190,,Al-Duhail
QAT,11,Assim Madibo,player,1996-10-22,168,,Al-Wakrah
QAT,12,Ahmed Fatehi,player,1993-01-25,,,Al-Arabi
QAT,13,Team Photo,team photo,,,,
QAT,14,Mohammed Waad,player,1999-09-18,183,,Al-Shamal
QAT,15,Abdulaziz Hatem,player,1990-10-28,182,,Al Rayyan
QAT,16,Hassan Al-Haydos,player,1990-12-11,174,,Al-Sadd
QAT,17,Edmilson Junior,player,1994-08-19,182,,Al Duhail
QAT,18,Akram Hassan Afif,player,,,,
QAT,19,Ahmed Al Ganehi,player,2000-09-22,,,Al-Gharafa
QAT,20,Almoez Ali,player,1996-08-19,180,,Al-Duhail
RSA,1,Team Logo,team logo · foil,,,,
RSA,2,Ronwen Williams,player,1992-01-21,184,,Mamelodi Sundowns
RSA,3,Sipho Chaine,player,1996-12-14,,,Orlando Pirates
RSA,4,Aubrey Modiba,player,1995-07-22,,,Mamelodi Sundowns
RSA,5,Samukele Kabini,player,2004-03-15,181,,Molde
RSA,6,Mbekezeli Mbokazi,player,2005-09-19,177,,Chicago Fire
RSA,7,Khulumani Ndamane,player,2004-02-05,183,,Mamelodi Sundowns
RSA,8,Siyabonga Ngezana,player,1997-07-15,188,,FCSB
RSA,9,Khuliso Mudau,player,1995-04-26,181,,Mamelodi Sundowns
RSA,10,Nkosinathi Sibisi,player,1995-09-22,177,,Orlando Pirates
RSA,11,Teboho Mokoena,player,,,,
RSA,12,Thalente Mbatha,player,2000-03-06,164,,Orlando Pirates
RSA,13,Team Photo,team photo,,,,
RSA,14,Bathasi Aubaas,player,,,,
RSA,15,Yaya Sithole,player,1999-03-03,186,,Tondela
RSA,16,Sipho Mbule,player,1998-03-22,,,Orlando Pirates
RSA,17,Lyle Foster,player,2000-09-03,,,Burnley
RSA,18,Iqraam Rayners,player,1995-12-19,176,,Mamelodi Sundowns
RSA,19,Mohau Nkota,player,2004-11-09,168,,Al-Ettifaq
RSA,20,Oswin Appollis,player,2001-08-25,171,,Orlando Pirates
SCO,1,Team Logo,team logo · foil,,,,
SCO,2,Angus Gunn,player,1996-01-22,,,Nottingham Forest
SCO,3,Jack Hendry,player,,,,
SCO,4,Kieran Tierney,player,1997-06-05,,,Celtic
SCO,5,Aaron Hickey,player,2002-06-10,,,Brentford
SCO,6,Andrew Robertson,player,1994-03-11,,,Liverpool
SCO,7,Scott McKenna,player,1996-11-12,,,Dinamo Zagreb
SCO,8,John Souttar,player,1996-09-25,,,Rangers
SCO,9,Anthony Ralston,player,1998-11-16,183,,Celtic
SCO,10,Grant Hanley,player,1991-11-20,,,Hibernian
SCO,11,Scott McTominay,player,1996-12-08,,,Napoli
SCO,12,Billy Gilmour,player,2001-06-11,,,Napoli
SCO,13,Team Photo,team photo,,,,
SCO,14,Lewis Ferguson,player,1999-08-24,,,Bologna
SCO,15,Ryan Christie,player,1995-02-22,,,Bournemouth
SCO,16,Kenny McLean,player,1992-01-08,,,Norwich City
SCO,17,John McGinn,player,1994-10-18,,,Aston Villa
SCO,18,Lyndon Dykes,player,1995-10-07,,,Charlton Athletic
SCO,19,Che Adams,player,1996-07-13,,,Torino
SCO,20,Ben Gannon-Doak,player,2005-11-11,,,Bournemouth
SEN,1,Team Logo,team logo · foil,,,,
SEN,2,Edouard Mendy,player,1992-03-01,194,,Al-Ahli
SEN,3,Yehvann Diouf,player,1999-11-16,188,,Nice
SEN,4,Moussa Niakhaté,player,1996-03-08,190,,Lyon
SEN,5,Abdoulaye Seck,player,,,,
SEN,6,Ismail Jakobs,player,1999-08-17,184,,Galatasaray
SEN,7,El Hadji Malick Diouf,player,2004-12-28,183,,West Ham United
SEN,8,Kalidou Koulibaly,player,1991-06-20,186,,Al-Hilal
SEN,9,Idrissa Gana Gueye,player,1989-09-26,174,,Everton
SEN,10,Pape Matar Sarr,player,2002-09-14,185,,Tottenham Hotspur
SEN,11,Pape Gueye,player,1999-01-24,189,,Villarreal
SEN,12,Habib Diarra,player,2004-01-03,179,,Sunderland
SEN,13,Team Photo,team photo,,,,
SEN,14,Lamine Camara,player,,,,
SEN,15,Sadio Mane,player,1992-04-10,175,,Al-Nassr
SEN,16,Ismaïla Sarr,player,1998-02-25,185,,Crystal Palace
SEN,17,Boulaye Dia,player,1996-11-16,180,,Lazio
SEN,18,Iliman Ndiaye,player,2000-03-06,180,,Everton
SEN,19,Nicolas Jackson,player,,,,
SEN,20,Krepin Diatta,player,1999-02-25,175,,Monaco
SUI,1,Team Logo,team logo · foil,,,,
SUI,2,Gregor Kobel,player,1997-12-06,195,,Borussia Dortmund
SUI,3,Yvon Mvogo,player,1994-06-06,187,,Lorient
SUI,4,Manuel Akanji,player,1995-07-19,188,,Inter Milan
SUI,5,Ricardo Rodriguez,player,,,,
SUI,6,Nico Elvedi,player,1996-09-30,187,,Borussia Mönchengladbach
SUI,7,Aurèle Amenda,player,2003-07-31,197,,Eintracht Frankfurt
SUI,8,Silvan Widmer,player,1993-03-05,183,,Mainz 05
SUI,9,Granit Xhaka,player,1992-09-27,186,,Sunderland
SUI,10,Denis Zakaria,player,1996-11-20,191,,Monaco
SUI,11,Remo Freuler,player,1992-04-15,181,,Bologna
SUI,12,Fabian Rieder,player,2002-02-16,181,,FC Augsburg
SUI,13,Team Photo,team photo,,,,
SUI,14,Ardon Jashari,player,2002-07-30,181,,AC Milan
SUI,15,Johan Manzambi,player,2005-10-14,182,,SC Freiburg
SUI,16,Michel Aebischer,player,1997-01-06,183,,Pisa
SUI,17,Breel Embolo,player,1997-02-14,187,,Rennes
SUI,18,Ruben Vargas,player,1998-08-05,177,,Sevilla
SUI,19,Dan Ndoye,player,2000-10-25,183,,Nottingham Forest
SUI,20,Zeki Amdouni,player,2000-12-04,185,,Burnley
SWE,1,Team Logo,team logo · foil,,,,
SWE,2,Victor Johansson,player,1998-09-13,,,
SWE,3,Isak Hien,player,1999-01-13,191,,Atalanta
SWE,4,Gabriel Gudmundsson,player,1999-04-29,180,,Leeds United
SWE,5,Emil Holm,player,,,,
SWE,6,Victor Nilsson Lindelöf,player,1994-07-17,187,,Aston Villa
SWE,7,Gustaf Lagerbielke,player,,,,
SWE,8,Lucas Bergvall,player,2006-02-02,187,,Tottenham Hotspur
SWE,9,Hugo Larsson,player,,,,
SWE,10,Jesper Karlström,player,1995-06-21,182,,Udinese
SWE,11,Yasin Ayari,player,2003-10-06,172,,Brighton & Hove Albion
SWE,12,Mattias Svanberg,player,1999-01-05,185,,VfL Wolfsburg
SWE,13,Team Photo,team photo,,,,
SWE,14,Daniel Svensson,player,1977-11-20,,,
SWE,15,Ken Sema,player,1993-09-30,180,,Pafos
SWE,16,Roony Bardghji,player,2005-11-15,173,,Barcelona
SWE,17,Dejan Kulusevski,player,2000-04-25,186,,Tottenham Hotspur
SWE,18,Anthony Elanga,player,2002-04-27,178,,Newcastle United
SWE,19,Alexander Isak,player,1999-09-21,192,,Liverpool
SWE,20,Viktor Gyökeres,player,1998-06-04,189,,Arsenal
TUN,1,Team Logo,team logo · foil,,,,
TUN,2,Bechir Ben Said,player,1992-11-29,193,,Espérance de Tunis
TUN,3,Aymen Dahmen,player,1997-01-28,188,,CS Sfaxien
TUN,4,Yan Valery,player,1999-02-22,185,,Young Boys
TUN,5,Montassar Talbi,player,1998-05-26,190,,Lorient
TUN,6,Yassine Meriah,player,1993-07-02,188,,Espérance de Tunis
TUN,7,Ali Abdi,player,,,,
TUN,8,Dylan Bronn,player,1995-06-19,186,,Servette
TUN,9,Ellyes Skhiri,player,1995-05-10,,,Eintracht Frankfurt
TUN,10,Aissa Laidouni,player,1996-12-13,183,,Al-Wakrah
